id,title,source_url,recommended_action,targets,reason,acceptance_tests,disposition
ANIM-01,Material core drops the animation-module dependency,https://github.com/angular/components/pull/30459,adapt checklist and dependency-boundary technique,package; core; all motion code,"Use the completed upstream transition as a dependency-closure checklist, not a mandatory implementation phase.",no engine imports/types in published runtime or harnesses; packed consumer without deprecated animation packages,review-pending
ANIM-02,Autocomplete CSS animation conversion,https://github.com/angular/components/pull/30356,adapt to legacy DOM and historical lifecycle,legacy-autocomplete,Upstream switched to CSS and deliberately omitted an exit animation; do not inherit that behavior change without comparing the legacy contract.,selection and close lifecycle; enter/exit contract comparison; focus and cancellation,review-pending
ANIM-03,Tabs animation conversion,https://github.com/angular/components/pull/30281,adapt algorithm and tests,legacy-tabs,Replace engine-driven body transitions while preserving legacy structure and public duration/event behavior.,dynamic height; rapid selection reversal; RTL direction; lazy content and animationDone ordering,review-pending
ANIM-04,Form-field subscript motion conversion,https://github.com/angular/components/pull/30354,adapt legacy-specific subscript implementation,legacy-form-field,"Current implementation is a reference for motion without the engine, not a reason to change legacy markup.",hint/error transitions; no label/layout regressions; disabled/zero-duration completion,review-pending
ANIM-05,Snack-bar animation conversion,https://github.com/angular/components/pull/30381,adapt lifecycle/controller,legacy-snack-bar,Preserve enter/exit notification and disposal semantics as the implementation moves to native motion.,dismiss during entrance; action/dismiss events exactly once; timer and overlay cleanup,review-pending
ANIM-06,Select animation conversion,https://github.com/angular/components/commit/a44b34794b129ba127206f7cf74c7c0a8a54be88,adapt relevant lifecycle and motion,legacy-select,Use upstream native-motion behavior as a reference while retaining legacy panel and option styling.,rapid open-close; detach during transition; multiple/RTL cases; focus restoration,review-pending
ANIM-07,Menu lifecycle decoupled from animations,https://github.com/angular/components/pull/30148,adapt owned lifecycle,legacy-menu,Avoid tying menu existence and public behavior solely to successful animation completion.,nested menus; keyboard closure; cancellation and no events; overlay disposal,review-pending
ANIM-08,Current dialog native-motion implementation,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/dialog/dialog-container.ts,reference implementation; no private inheritance,legacy-dialog,Use its current controller and completion handling as input to an owned legacy controller.,enter/exit configuration; focus trapping/restoration; destroy while closing; event ownership,review-pending
ANIM-09,Current tooltip implementation,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/tooltip/tooltip.ts,reference public behavior and internal algorithm,legacy-tooltip,Port legacy tooltip internals without importing modern private bases or changing legacy panel presentation.,show/hide delays; touch/hover/focus; rapid reentry; canceled motion and disposal,review-pending
SEC-01,CDK media-matcher CSS injection hardening,https://github.com/angular/components/commit/e8f34190606a706e27b594ad84543fad62dd24e8,inherit from verified patched current CDK,CDK layout; selected peer floor,Verify the used artifact includes the upstream fix; inspect equivalent owned string-to-style paths only if they exist. This is not evidence of a demonstrated exploit in this project.,patched source/artifact check; relevant style input regression if owned,review-pending
SEC-02,Trusted Types createPolicy clobbering guard,https://github.com/angular/components/pull/33410,inherit through CDK; inspect owned equivalents,shared infrastructure; any copied policy helpers,Do not import the private helper directly or create permissive policies. Determine whether an owned equivalent needs the same hardening.,strict Trusted Types fixture where relevant; policy initialization failure/duplicate conditions; selected peer verification,review-pending
SEC-03,CSP nonce setAttribute correction,https://github.com/angular/components/pull/28800,inherit or adapt only where a copied code path remains,owned dynamic styles; SSR,Upstream describes correct nonce assignment for SSR. Distinguish compatibility hardening from a verified security vulnerability.,nonce preserved in SSR output; CSP rendering without permissive fallback,review-pending
CDK-01,Deprecated portal symbol removal,https://github.com/angular/components/pull/30584,adapt callers to current public API,legacy overlays/portals,Renamed/removed portal symbols are a porting task; avoid freezing a CDK copy to retain aliases.,portal attach/detach; template/component portal teardown,review-pending
CDK-02,CDK a11y v22 breaking changes,https://github.com/angular/components/commit/7426334c5efb76ac3f359e26a7f6e48e29d4ec78,inspect and adapt current public usages,legacy focus/overlay controls,Constructor and token changes must be handled by public interfaces while preserving focus behavior.,keyboard and focus-trap behavior; provider scopes; no current private imports,review-pending
CDK-03,Table rows update when row definitions change,https://github.com/angular/components/pull/33670,inherit through verified current CDK; add legacy regression,legacy-table,A current CDK table correction should flow through delegated infrastructure; prove legacy wiring actually benefits.,dynamic row definitions; reordered/removed rows; correct table teardown,review-pending
ROB-01,Bottom-sheet animation event ownership,https://github.com/angular/components/commit/fb4478bff31976f6179fde21f800f1326395f707,reference technique in owned motion controllers,legacy-dialog; legacy-snack-bar; legacy-menu,The ordinary bottom-sheet component is not owned. Its event-target fix is useful as a general regression pattern.,descendant events do not complete parent animation; matching property/name filters,review-pending
ROB-02,Stepper validates animation durations,https://github.com/angular/components/commit/30942bcd3640efd7f3980044144dd1fc8b10e8f3,reference validation for owned duration APIs,legacy-tabs; legacy-dialog; motion utilities,Do not copy stepper; preserve valid historical numeric/string duration forms while rejecting or safely normalizing invalid input.,zero and supported unit strings; invalid/negative/NaN/infinite durations; bounded completion,review-pending
ROB-03,Preserve externally supplied aria-describedby,https://github.com/angular/components/pull/30699,reproduce and adapt in owned form control layer,legacy-form-field; legacy-input; legacy-select,Determine whether the legacy implementation loses external descriptions under updates before applying the correction.,external IDs survive error/hint changes; no duplicated or dangling IDs,review-pending
ROB-04,Select closes on overlay detach,https://github.com/angular/components/pull/30634,adapt if equivalent owned state bug exists,legacy-select,"Keep public open state, focus and lifecycle consistent when the overlay detaches independently.",external detach; state/event consistency; reopen after detach,review-pending
ROB-05,Dialog focus consistency zoneful/zoneless,https://github.com/angular/components/pull/29192,adapt owned scheduling; inherit CDK pieces,legacy-dialog,Do not rely only on NgZone events that may not fire in the target mode.,both runtime modes; autofocus ordering; focus restore on destroy,review-pending
ROB-06,Dialog close ignores aria-disabled activation,https://github.com/angular/components/pull/33373,reproduce and adapt where the same contract applies,legacy-dialog close directive,Check native disabled versus aria-disabled semantics and activation sources without silently changing unrelated public behavior.,mouse and keyboard activation; disabled and aria-disabled; focusability when relevant,review-pending
SASS-01,Core Sass compiler-warning modernization,https://github.com/angular/components/pull/33040,adapt equivalent public Sass syntax,owned legacy Sass,Modernize deprecated Sass operations without importing current private theme architecture or suppressing all warnings.,compiled legacy CSS equivalent; supported Sass compiler warnings; light/dark/theme map cases,review-pending
API-01,Current public form-field control protocol,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/form-field/form-field-control.ts,evaluate and implement compatible owned protocol,legacy-form-field; legacy-input; legacy-select,Current protocol evolution must not be hidden with casts. Preserve classic forms integration; do not promise new signal-form features without tests.,strict type checking; reactive/template-driven forms; public custom control integration,review-pending
API-02,Current ripple directive and public configuration,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/core/ripple/ripple.ts,delegate only after visual and identity proof,legacy-button; checkbox; options; shared core,"Reuse can eliminate copied infrastructure, but legacy ripple DOM/sizing/defaults require tests.",ripple element classes/sizing; global/local config; disabled/reduced motion; single upstream identity,review-pending
THEME-01,Current M2 public Sass API,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/_index.scss,reference oracle only; independently own Material-16 M2 model,owned historical Sass model; current-component bridge tests,Use current M2 source/output only to cross-check our independently owned historical semantics while upstream still provides an oracle. Shipped Sass must not call current m2-* or compatibility-only theming APIs.,Material-16 value/map/signature parity; no shipped m2-* dependency; current-component bridge via stable public override/token API,review-pending
MOTION-01,Share current public motion configuration,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/core/animation/animation.ts,Use MATERIAL_ANIMATIONS and public ANIMATION_MODULE_TYPE; implement owned state detection. Do not call _getAnimationsState or blindly copy process-global reduced-motion caching.,legacy-core; motion,Use MATERIAL_ANIMATIONS and public ANIMATION_MODULE_TYPE; implement owned state detection. Do not call _getAnimationsState or blindly copy process-global reduced-motion caching.,"disabled, reduced motion, SSR state isolation and exactly-once completion",review-pending
SASS-02,Historical core structural responsibilities,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/core/_core.scss,"Recreate responsibility set; use current public CDK styles as necessary and classify exact differences, not an old global CDK stylesheet.",core Sass,"Recreate responsibility set; use current public CDK styles as necessary and classify exact differences, not an old global CDK stylesheet.","nonempty setup, overlay/autofill/focus/ripple coexistence",review-pending
SASS-03,Current core mixin is empty,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/core/_core.scss,Never forward historical core() to this no-op.,core Sass,Never forward historical core() to this no-op.,negative test rejecting empty candidate core output,review-pending
SASS-04,M2 names under current m2 prefix,https://raw.githubusercontent.com/angular/components/v22.2.0/src/material/core/m2/_index.scss,reference-only mapping aid; own old names/values locally,Sass facade,Current m2-prefixed definitions help verify correspondence but are planned-removal compatibility infrastructure and therefore forbidden as shipped implementation dependencies.,Material-16 hue/value/map equality; no shipped m2-* dependency; custom theme and typography structural fixtures,review-pending
