symbol,kind,category,baseline_source,current_candidate,current_candidate_reference_only,decision,verification
define-light-theme,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-light-theme,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-dark-theme,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-dark-theme,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
define-palette,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-define-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
get-contrast-color-from-palette,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-get-contrast-color-from-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
get-color-from-palette,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-get-color-from-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
get-color-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-get-color-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
get-typography-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-get-typography-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
get-density-config,function,owned-input-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:m2-get-density-config,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
$theme-ignore-duplication-warnings,variable,owned-config-adapter,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,,Preserve @use with/configuration semantics; do not lose module-global configuration.,proposed-disposition; historical named export inspected; compile/API parity pending
$red-palette,variable,owned-historical-value,https://raw.githubusercontent.com/angular/components/16.2.14/src/material/_index.scss,,@angular/material:$m2-red-palette,Own the Material-16-compatible value/function locally. Use the current m2-* implementation only as a temporary reference/oracle while available; do not depend on it in shipped Sass.,historical 16.2.14 value/map/signature parity required; current M2 cross-check optional/reference-only; compile/API parity pending
